Type: Diffuse nebula
Constellation: Tucana;
262,0.8130833333,+31.9569444444444,Magnitude: 15
Type: Spiral galaxy
Constellation: Andromeda;
263,0.8134444444,-13.1077777777778,Magnitude: 14
Type: Spiral galaxy
Constellation: Cetus;
264,0.8058611111,-38.2347222222222,Magnitude: 14.9
Type: Lenticular galaxy
Constellation: Sculptor;
265,0.7865555556,-73.4772222222222,Magnitude: 12.5
Type: Open cluster
Constellation: Tucana;
266,0.83,+32.2775,Magnitude: 12.6
Type: Barred spiral galaxy
Constellation: Pisces;
267,0.8104444444,-73.3163888888889,Magnitude: 
Type: Diffuse nebula
Constellation: Tucana;
268,0.8359444444,-5.19361111111111,Magnitude: 12.5
Type: Spiral galaxy
Constellation: Cetus;
269,0.8058888889,-73.5302777777778,Magnitude: 13
Type: Open cluster
Constellation: Tucana;
270,0.8423333333,-8.65138888888889,Magnitude: 13
Type: Lenticular galaxy
Constellation: Cetus;
271,0.8449722222,-1.91027777777778,Magnitude: 13.2
Type: Barred spiral galaxy
Constellation: Cetus;
272,0.85,+35.8333333333333,Magnitude: 
Type: Open cluster
Constellation: Andromeda;
273,0.8468055556,-6.88555555555556,Magnitude: 13
Type: Lenticular galaxy
Constellation: Cetus;
274,0.8505277778,-7.05722222222222,Magnitude: 13
